Type,Exp,Level up,Level
Druid2,4422,5000,2
Druid2,4422,5000,2
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
Sold1,700,2000,1
