Location ID,Name,Development,Security lvl,Area,Guards,Conscripts,Scholars,Sympathizers,Warriors,Commoners
1,Alta Floresta,1,1,125000,1,6,1,18,0,98
2,Apui,1,1,248107,15,4,1,16,2,68
3,Jardim,1,1,313645,3,5,1,20,2,104
4,Chamleon,1,1,437699,4,7,1,28,3,144
5,Biraba,1,1,229382,1,5,1,15,1,75
6,Aldeia,1,2,2336074,15,48,5,160,12,825
7,Treviso,1,1,259810,2,6,2,17,2,82
8,Guatuba,2,1,468127,3,12,2,20,4,159
9,Morcego,2,1,1357774,10,38,7,62,13,489
10,Marunum,2,1,3427209,24,95,16,157,32,1243
11,Lagoinas,2,1,1079200,8,30,5,50,10,389
12,Santaluz,2,1,1441127,10,40,7,66,14,520
13,Rio Tinto,3,2,2927640,59,205,234,146,88,2186
14,Araguaia,3,1,1120877,11,36,41,26,16,381
15,Veado,3,1,3053347,28,98,112,70,42,1042
16,Patau,3,2,4414536,88,308,352,220,132,3300
17,Peroba,3,2,4302166,86,301,344,215,129,3223
18,Regalo,3,2,2247400,45,157,180,112,68,1678
19,Saerim,4,3,17341473,162,568,649,406,243,6083
20,Bixopa,3,2,3898838,78,273,311,195,117,2912
21,Gaupo,3,2,2481170,50,174,198,124,75,1852
22,Jacarea,1,1,4156676,19,95,9,284,19,1469
23,Fordland,1,1,45000,0,2,0,5,0,23
24,Jatobal,1,1,395567,2,8,1,25,2,131
25,Manaus,3,2,20777694,194,680,777,485,291,7290
