Location ID,Name,Development,Security lvl,Area,Guards,Conscripts,Scholars,Sympathizers,Warriors,Commoners
1,Alta Floresta,1,1,125000,0,0,0,0,0,0
2,Apui,1,1,248107,0,0,0,0,0,0
3,Jardim,1,1,313645,0,0,0,0,0,0
4,Chamleon,1,1,437699,0,0,0,0,0,0
5,Biraba,1,1,229382,0,0,0,0,0,0
6,Aldeia,1,1,2336074,0,0,0,0,0,0
7,Treviso,1,1,259810,0,0,0,0,0,0
8,Guatuba,2,2,468127,0,0,0,0,0,0
9,Morcego,2,2,1357774,14,98,7,62,14,424
10,Marunum,2,1,3427209,0,0,0,0,0,0
11,Lagoinas,2,2,1079200,9,52,5,50,11,365
12,Santaluz,2,2,1441127,0,0,0,0,0,0
13,Rio Tinto,3,2,2927640,64,324,234,146,89,2061
14,Araguaia,3,2,1120877,0,0,0,0,0,0
15,Veado,3,2,3053347,0,0,0,0,0,0
16,Patau,3,3,4414536,125,737,352,220,135,2831
17,Peroba,3,2,4302166,96,475,344,215,129,3039
18,Regalo,3,1,2247400,45,153,180,112,67,1683
19,Saerim,4,1,17341473,159,527,649,406,235,6135
20,Bixopa,3,1,3898838,78,266,311,195,115,2921
21,Gaupo,3,1,2481170,50,169,198,124,74,1858
22,Jacarea,1,1,4156676,19,95,9,284,19,1469
23,Fordland,1,1,45000,0,2,0,5,0,23
24,Jatobal,1,1,395567,2,8,1,25,2,131
25,Manaus,3,1,20777694,193,663,777,485,288,7311
